ITEM_NO,COMPANY,Station_Series_ID,DynamicStartFt,DynamicEndFt,TestStartDateTime
2576,Great Lakes Gas Transmission,104100,97358.54674,98745.21012,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,98745.21012,99735.16091,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,99735.16091,99992.92994,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,99992.92994,101508.8158,1968-08-10 10:15:00
2575,Great Lakes Gas Transmission,104100,66168,66412.91677,1968-08-08 21:10:00
2575,Great Lakes Gas Transmission,104100,66412.91677,66520.96467,1968-08-08 21:10:00
2575,Great Lakes Gas Transmission,104100,66520.96467,66563.38593,1968-08-08 21:10:00
2575,Great Lakes Gas Transmission,104100,66563.38593,69707.65102,1968-08-08 21:10:00
2575,Great Lakes Gas Transmission,104100,69707.65102,84624,1968-08-08 21:10:00
2576,Great Lakes Gas Transmission,104100,84624,90334.55066,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,90334.55066,92803.46471,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,102018.2252,103805,1968-08-10 10:15:00
2576,Great Lakes Gas Transmission,104100,101508.8158,102018.2252,1968-08-10 10:15:00
2577,Great Lakes Gas Transmission,104100,103805,129358.1597,1968-08-01 19:28:00
2577,Great Lakes Gas Transmission,104100,129358.1597,130411,1968-08-01 19:28:00
2578,Great Lakes Gas Transmission,104100,130411,130806.2732,1968-08-01 11:00:00
2578,Great Lakes Gas Transmission,104100,130806.2732,131666.073,1968-08-01 11:00:00
2578,Great Lakes Gas Transmission,104100,131666.073,133033.9963,1968-08-01 11:00:00
2579,Great Lakes Gas Transmission,104200,156700.371,157074,1968-07-30 22:10:00
2580,Great Lakes Gas Transmission,104200,157074,159085.6794,1968-07-29 16:00:00
2578,Great Lakes Gas Transmission,104200,133034,134640.2102,1968-08-01 11:00:00
2578,Great Lakes Gas Transmission,104200,134640.2102,134876.0501,1968-08-01 11:00:00
2578,Great Lakes Gas Transmission,104200,134876.0501,136531.3519,1968-08-01 11:00:00
2578,Great Lakes Gas Transmission,104200,136531.3519,136693,1968-08-01 11:00:00
2579,Great Lakes Gas Transmission,104200,136693,154526.4372,1968-07-30 22:10:00
2579,Great Lakes Gas Transmission,104200,154526.4372,156700.371,1968-07-30 22:10:00
2580,Great Lakes Gas Transmission,104200,159085.6794,160585.2201,1968-07-29 16:00:00
2580,Great Lakes Gas Transmission,104200,160585.2201,162293.7437,1968-07-29 16:00:00
2580,Great Lakes Gas Transmission,104200,162293.7437,163442.3854,1968-07-29 16:00:00
2580,Great Lakes Gas Transmission,104200,163442.3854,164282.4674,1968-07-29 16:00:00
2580,Great Lakes Gas Transmission,104200,164282.4674,164435,1968-07-29 16:00:00
2581,Great Lakes Gas Transmission,104200,164435,166882.1722,1968-07-28 14:00:00
2581,Great Lakes Gas Transmission,104200,166882.1722,168303,1968-07-28 14:00:00
2582,Great Lakes Gas Transmission,104200,168303,193627,1968-09-27 19:25:00
2583,Great Lakes Gas Transmission,104200,193627,211361.9984,1968-04-27 00:00:00
2583,Great Lakes Gas Transmission,104300,211362,228442.011,1968-04-27 00:00:00
2583,Great Lakes Gas Transmission,104350,228429,277717.9991,1968-04-27 00:00:00
2583,Great Lakes Gas Transmission,104400,277718,306484,1968-04-27 00:00:00
2584,Great Lakes Gas Transmission,104400,306484,358329,1968-04-26 22:40:00
2585,Great Lakes Gas Transmission,104400,358329,359232.999,1968-05-01 18:40:00
2585,Great Lakes Gas Transmission,105000,0,387,1968-05-01 18:40:00
2586,Great Lakes Gas Transmission,105000,387,58215.39707,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105000,58215.39707,60525.84983,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105000,60525.84983,61282.51322,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105000,61282.51322,63355.80718,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105000,63355.80718,75134.00274,1968-08-25 03:10:00
2587,Great Lakes Gas Transmission,105000,35315,35773,2003-02-01 10:45:00
2587,Great Lakes Gas Transmission,105000,41494,41830,2003-02-01 10:45:00
2586,Great Lakes Gas Transmission,105100,75134.003,83735.21666,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105100,83735.21666,85576.12874,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105100,85576.12874,85594.72126,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105100,85594.72126,86386.07297,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105100,86386.07297,86803.06116,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105100,86803.06116,90311.08938,1968-08-25 03:10:00
2586,Great Lakes Gas Transmission,105100,90311.08938,94087,1968-08-25 03:10:00
2588,Great Lakes Gas Transmission,105100,94087,130493,1968-08-26 14:00:00
2589,Great Lakes Gas Transmission,105100,130493,158347.995,1968-08-28 22:50:00
2591,Great Lakes Gas Transmission,105200,216521.8278,218874.0226,1968-09-05 01:00:00
2589,Great Lakes Gas Transmission,105200,158347.9957,173446.6013,1968-08-28 22:50:00
2589,Great Lakes Gas Transmission,105200,173446.6013,174471,1968-08-28 22:50:00
2590,Great Lakes Gas Transmission,105200,174471,176266.7293,1968-09-05 23:20:00
2590,Great Lakes Gas Transmission,105200,176266.7293,209617,1968-09-05 23:20:00
2591,Great Lakes Gas Transmission,105200,209617,210026.2963,1968-09-05 01:00:00
2591,Great Lakes Gas Transmission,105200,210026.2963,216521.8278,1968-09-05 01:00:00
2591,Great Lakes Gas Transmission,105200,218874.0226,220232,1968-09-05 01:00:00
2592,Great Lakes Gas Transmission,105200,220232,220604.295,1968-09-21 06:25:00
2592,Great Lakes Gas Transmission,105200,220604.295,236693.9899,1968-09-21 06:25:00
2592,Great Lakes Gas Transmission,105300,236693.99,303830,1968-09-21 06:25:00
2593,Great Lakes Gas Transmission,105300,303830,314515.997,1968-10-03 01:00:00
